Student,Subject1,Subject2,Subject3,Subject4,Subject5
S301,1,1,1,1,1
S302,1,2,3,1,1
S303,1,1,1,1,1
S304,2,3,2,2,3
S305,1,2,4,2,3
S306,2,4,3,3,3
S307,1,2,1,1,2
S308,3,2,4,2,3
S309,1,1,1,1,1
S310,1,1,1,1,1
S311,4,5,4,4,2
S312,2,1,1,3,2
S313,2,2,1,1,3
S314,2,1,3,2,2
S315,2,1,1,2,1
S316,1,1,1,1,1
S317,2,2,3,2,3
S318,1,1,1,1,1
S319,2,1,1,1,5
S320,1,1,1,2,1
S321,2,1,3,1,1
S322,2,5,2,3,3
S323,2,3,2,5,5
S324,2,1,1,1,2
S325,1,2,2,2,1
S326,2,1,1,1,2
S327,3,1,1,1,1
S328,3,2,3,3,2
S329,1,1,1,2,2
S330,5,4,3,2,3
S331,1,1,3,1,1
S332,3,1,1,1,1
S333,2,2,3,1,2
S334,1,1,1,3,4
S335,1,1,1,1,1
S336,2,2,1,2,2
S337,1,2,1,2,1
S338,2,4,4,2,4
S339,1,1,1,1,3
S340,1,1,3,3,3
S341,3,2,2,3,4
S342,2,2,3,4,2
S343,3,2,4,2,2
S344,2,3,4,4,3
S345,3,2,4,4,3
S346,1,1,1,1,1
S347,2,1,1,1,2
S348,2,2,1,2,2
S349,1,1,1,1,2
S350,1,3,2,2,1
S351,2,2,1,3,1
S352,3,1,1,4,5
S353,1,1,1,1,1
S354,3,2,1,1,1
S355,2,1,1,1,3
S356,1,3,1,1,1
S357,2,1,3,1,1
S358,2,1,1,1,1
S359,4,1,2,1,2
S360,3,2,2,2,2
S361,2,2,4,3,1
S362,2,1,1,1,2
S363,4,2,2,3,2
S364,4,2,1,1,2
S365,3,2,3,1,3
S366,1,1,2,1,1
S367,1,1,1,1,1
S368,1,4,3,2,1
S369,3,2,4,1,1
S370,5,4,4,3,2
S371,2,1,1,1,2
S372,1,1,2,1,3
S373,1,1,1,1,3
S374,2,2,2,1,2
S375,1,1,1,2,1
S376,1,3,1,1,1
S377,1,1,2,2,1
S378,1,1,1,3,2
S379,2,1,4,1,1
S380,1,1,1,1,1
S381,3,3,3,2,3
S382,2,2,1,1,2
S383,1,2,2,2,1
S384,1,2,2,1,3
S385,3,2,1,1,2
S386,2,3,2,4,3
S387,1,1,3,2,3
S388,2,1,2,1,2
S389,2,1,1,2,2
S390,1,1,1,2,1
S391,1,2,2,1,3
S392,1,1,1,1,2
S393,1,1,2,2,2
S394,2,4,1,3,4
S395,1,2,1,1,2
S396,1,1,1,1,1
S397,2,3,1,1,2
S398,2,3,1,1,3
S399,2,2,4,3,3
S400,1,2,1,2,1
S401,2,1,1,2,4
S402,3,2,2,2,2
S403,1,1,1,1,2
S404,3,2,3,1,2
S405,1,2,2,2,1
S406,2,3,2,2,2
S407,2,2,2,4,1
S408,1,2,1,3,2
S409,1,2,2,3,2
S410,1,1,1,1,3
S411,2,3,1,3,5
S412,1,1,1,1,1
S413,1,1,3,1,1
S414,1,1,1,1,1
S415,2,1,1,2,1
S416,1,1,1,1,1
S417,2,2,2,2,2
S418,1,1,2,2,1
S419,1,2,2,1,2
S420,1,1,2,1,1
S421,2,1,2,3,2
S422,2,1,2,2,1
S423,1,1,3,1,2
S424,3,2,4,2,3
S425,2,3,1,1,3
S426,2,1,2,2,2
S427,1,1,2,1,1
S428,3,1,1,2,3
S429,2,1,3,2,4
S430,1,1,4,3,1
S431,2,1,2,3,5
S432,1,1,2,1,1
S433,2,1,1,1,1
S434,2,1,1,5,3
S435,3,1,1,3,1
S436,1,1,1,2,5
S437,2,2,1,2,2
S438,4,3,2,3,2
S439,2,3,1,2,1
S440,2,5,2,1,1
S441,1,1,1,2,2
S442,1,2,3,1,3
S443,3,4,3,2,1
S444,1,1,1,2,1
S445,1,1,1,1,3
S446,2,1,4,2,2
S447,1,3,3,5,4
S448,2,1,3,4,2
S449,1,3,2,2,3
S450,1,2,1,1,1
S451,1,1,1,1,3
S452,1,2,1,2,1
S453,3,4,4,3,3
S454,2,2,1,3,3
S455,2,1,1,1,2
S456,4,3,4,2,3
S457,2,3,2,2,2
S458,1,2,3,1,4
S459,3,3,3,1,1
S460,1,1,1,1,1
S461,1,1,2,1,1
S462,2,2,1,1,1
S463,1,2,1,2,1
S464,3,2,4,3,2
S465,1,2,3,1,1
S466,3,2,4,3,2
S467,1,2,1,3,4
S468,2,1,2,3,2
S469,5,5,5,3,1
S470,1,2,1,2,2
S471,2,2,3,3,3
S472,1,2,1,2,2
S473,2,1,1,1,1
S474,3,1,2,3,1
S475,1,5,1,1,1
S476,4,5,5,3,3
S477,1,1,2,1,1
S478,2,2,1,2,1
S479,2,1,3,2,2
S480,1,1,1,1,1
S481,1,1,1,2,1
S482,1,1,1,1,1
S483,1,1,2,1,1
S484,2,2,2,2,5
S485,1,1,1,1,1
S486,3,3,3,5,2
S487,3,3,1,3,3
S488,3,2,3,3,2
S489,1,1,2,3,2
S490,3,4,2,2,2
S491,3,1,1,5,1
S492,2,3,1,1,1
S493,1,1,2,1,1
S494,2,2,2,3,1
S495,2,1,1,2,2
S496,1,1,1,1,1
S497,1,2,3,2,1
S498,1,1,1,1,1
S499,1,2,3,1,1
S500,1,1,2,1,1
S501,1,1,4,1,1
S502,2,1,2,1,1
S503,1,1,1,1,1
S504,1,1,3,1,2
S505,4,2,4,3,3
S506,1,1,2,1,2
S507,3,2,3,1,1
S508,2,1,2,2,3
S509,1,1,1,1,2
S510,2,3,2,3,2
S511,1,2,1,1,3
S512,1,2,4,1,3
S513,1,1,1,2,1
S514,2,3,2,2,1
S515,2,1,2,1,1
S516,1,2,1,3,1
S517,3,1,1,2,1
S518,1,1,4,2,2
S519,1,2,1,1,1
S520,2,1,4,2,1
S521,1,2,1,1,1
S522,1,1,2,1,1
S523,2,1,3,3,1
S524,1,1,2,1,1
S525,1,1,1,1,3
S526,1,1,1,1,1
S527,1,1,1,2,2
S528,3,1,1,2,2
S529,3,3,1,1,1
S530,1,2,2,1,3
S531,2,1,4,4,3
S532,2,1,5,3,2
S533,2,3,2,3,2
S534,1,1,3,1,1
S535,2,1,4,1,3
S536,1,1,3,2,3
S537,3,2,5,5,2
S538,1,1,1,1,1
S539,2,1,1,1,1
S540,2,2,2,2,3
S541,2,1,1,2,1
S542,3,3,2,1,4
S543,2,3,1,4,3
S544,3,2,1,3,3
S545,2,2,1,1,2
S546,1,1,1,1,1
S547,1,1,2,2,1
S548,1,1,1,1,1
S549,2,1,1,1,1
S550,1,1,1,1,1
S551,3,2,2,4,3
S552,1,1,2,2,3
S553,1,1,1,3,1
S554,1,1,2,2,1
S555,5,3,4,2,4
S556,1,2,2,2,1
S557,3,3,1,4,3
S558,1,1,1,2,2
S559,3,1,1,1,1
S560,2,1,4,1,2
S561,1,1,4,3,1
S562,1,1,2,1,2
S563,1,1,2,1,1
S564,3,2,3,2,2
S565,4,4,4,1,1
S566,2,2,2,1,1
S567,1,2,1,1,2
S568,2,2,2,1,2
S569,3,1,1,1,2
S570,1,3,1,3,2
S571,1,1,3,3,1
S572,2,3,2,4,4
S573,4,4,3,4,3
S574,1,2,3,3,2
S575,2,2,3,4,3
S576,1,2,3,2,3
S577,1,1,1,2,1
S578,4,1,3,3,5
S579,1,1,2,2,2
S580,1,2,4,3,2
S581,1,1,1,1,1
S582,1,2,1,1,1
S583,1,2,3,1,3
S584,1,1,1,1,1
S585,1,2,1,1,1
S586,3,5,4,3,3
S587,2,3,2,1,2
S588,2,2,1,3,1
S589,2,1,1,1,2
S590,3,2,3,3,1
S591,1,1,2,1,1
S592,2,2,1,1,1
S593,2,3,1,1,3
S594,1,1,2,1,1
S595,1,4,3,3,1
S596,4,1,4,3,2
S597,1,1,1,2,1
S598,1,1,1,1,1
S599,1,2,1,2,2
S600,1,3,3,1,2
S601,5,2,2,3,1
S602,1,3,1,3,3
S603,1,1,1,1,1
S604,3,1,2,2,1
S605,1,4,1,1,1
S606,1,1,1,2,2
S607,1,2,1,2,2
S608,4,3,4,5,2
S609,2,1,2,1,1
S610,1,1,1,1,3
S611,3,1,1,2,4
S612,1,2,1,2,2
S613,1,2,3,4,3
S614,2,1,1,1,1
S615,1,2,1,1,4
S616,1,1,1,1,1
S617,2,3,2,1,1
S618,1,1,2,1,1
S619,5,3,4,5,3
S620,1,1,1,3,2
S621,1,2,1,1,1
S622,1,2,2,4,1
S623,2,1,2,2,2
S624,2,4,1,2,1
S625,1,1,2,1,3
S626,2,1,1,3,3
S627,1,1,1,1,3
S628,2,1,1,2,1
S629,3,1,1,1,1
S630,1,1,1,1,1
S631,1,2,2,2,1
S632,2,2,3,1,1
S633,3,3,4,4,4
S634,1,1,1,1,2
S635,3,4,1,3,3
S636,1,2,1,3,1
S637,1,1,1,1,1
S638,3,2,2,2,2
S639,1,1,1,2,2
S640,1,2,1,1,1
S641,1,2,2,3,1
S642,3,4,3,4,5
S643,2,1,1,1,1
S644,5,4,1,1,3
S645,1,1,1,2,1
S646,1,1,1,1,1
S647,1,1,1,1,3
S648,1,2,1,1,1
S649,5,3,3,5,3
S650,4,3,3,3,4
S651,4,3,2,3,3
S652,4,2,2,1,2
S653,2,1,1,2,1
S654,1,2,1,1,1
S655,1,1,1,2,1
S656,3,4,3,3,3
S657,3,1,1,1,1
S658,1,1,2,1,2
S659,3,2,3,3,3
S660,1,1,1,1,1
S661,2,2,2,1,3
S662,1,1,2,2,2
S663,1,1,1,2,1
S664,2,2,2,2,3
S665,2,3,1,3,1
S666,1,1,2,2,1
S667,1,2,1,1,1
S668,1,1,1,2,1
S669,2,1,2,1,3
S670,2,1,3,1,1
S671,3,2,4,4,2
S672,1,1,1,1,1
S673,2,1,4,2,3
S674,3,2,1,2,4
S675,2,3,3,2,1
S676,2,3,1,3,1
S677,1,2,1,3,1
S678,1,1,1,1,2
S679,3,3,1,3,1
S680,1,2,1,1,1
S681,4,3,1,2,2
S682,1,1,1,1,2
S683,3,3,3,1,2
S684,3,2,1,3,2
S685,1,2,2,1,3
S686,2,2,3,1,2
S687,4,3,1,2,4
S688,3,5,3,4,5
S689,2,3,1,3,1
S690,2,2,1,4,1
S691,2,1,2,1,2
S692,3,1,1,3,2
S693,4,2,2,1,1
S694,1,1,1,1,1
S695,1,1,3,1,1
S696,1,3,1,1,2
S697,2,1,3,2,2
S698,3,4,1,1,1
S699,1,1,2,2,3
S700,4,3,1,3,5
S701,2,1,1,1,1
S702,2,2,1,2,1
S703,2,3,2,2,2
S704,3,2,1,1,1
S705,1,1,1,2,2
S706,2,3,1,3,2
S707,2,2,2,3,2
S708,4,3,5,3,4
S709,2,2,2,2,1
S710,1,3,3,2,1
S711,4,2,2,2,1
S712,3,3,2,2,1
S713,1,1,1,1,3
S714,2,1,3,1,1
S715,3,4,3,3,4
S716,1,4,5,3,3
S717,1,2,2,3,1
S718,3,2,1,1,2
S719,1,3,4,3,3
S720,1,3,1,1,1
S721,2,1,1,2,2
S722,4,4,3,2,2
S723,1,1,1,2,1
S724,4,1,2,4,1
S725,4,5,2,4,2
S726,1,1,1,1,1
S727,1,1,1,2,3
S728,1,1,2,3,1
S729,4,4,1,2,5
S730,1,3,2,2,1
S731,2,1,1,1,1
S732,1,4,2,1,4
S733,1,1,1,2,1
S734,4,4,3,3,1
S735,4,2,1,2,1
S736,1,3,2,3,3
S737,4,2,2,1,1
S738,1,1,1,1,1
S739,1,2,2,2,4
S740,2,1,3,2,2
S741,1,3,2,3,2
S742,2,4,1,2,3
S743,1,1,3,1,1
S744,1,2,3,2,2
S745,2,1,1,1,3
S746,1,2,2,2,2
S747,2,1,2,1,1
S748,1,3,1,2,2
S749,1,2,1,1,2
S750,1,4,3,2,3
S751,1,1,2,1,1
S752,2,2,3,2,2
S753,2,2,4,3,4
S754,4,2,2,1,3
S755,2,1,2,1,1
S756,1,1,3,1,1
S757,4,5,3,3,5
S758,3,4,3,3,2
S759,1,2,1,1,2
S760,3,2,4,2,3
S761,3,3,4,3,2
S762,2,1,1,1,1
S763,1,2,2,2,1
S764,1,3,4,1,1
S765,1,1,2,1,1
S766,2,1,1,1,3
S767,2,1,1,3,2
S768,1,2,3,1,1
S769,2,1,2,1,1
S770,2,1,1,2,3
S771,1,2,2,2,2
S772,1,2,2,1,3
S773,3,2,2,2,3
S774,1,1,2,1,2
S775,3,2,2,2,1
S776,4,4,3,2,1
S777,2,1,1,1,1
S778,1,1,1,1,2
S779,3,3,2,2,4
S780,3,1,4,2,2
S781,1,1,1,1,1
S782,1,2,2,1,1
S783,2,1,3,1,2
S784,4,3,3,3,1
S785,4,2,1,1,4
S786,2,3,4,2,2
S787,2,3,1,3,4
S788,1,1,1,1,2
S789,2,2,1,1,2
S790,2,4,2,2,3
S791,1,2,1,1,1
S792,1,1,1,1,1
S793,3,2,5,2,1
S794,1,1,1,1,1
S795,5,4,5,3,5
S796,2,3,3,1,2
S797,1,1,1,3,1
S798,4,5,3,3,3
S799,2,2,4,1,4
S800,1,2,3,1,1
S801,2,4,4,2,2
S802,4,3,1,1,1
S803,5,3,2,5,3
S804,1,2,2,2,2
S805,1,2,1,2,1
S806,4,1,1,2,1
S807,4,1,1,3,2
S808,1,2,1,3,1
S809,3,3,1,1,2
S810,3,1,1,1,2
S811,1,1,1,1,1
S812,2,2,1,1,1
S813,1,2,1,1,1
S814,5,3,4,4,4
S815,2,1,4,3,1
S816,2,3,4,3,1
S817,2,2,1,4,3
S818,3,1,2,2,3
S819,1,1,1,1,1
S820,1,2,2,3,1
S821,3,3,1,1,2
S822,1,1,2,1,1
S823,2,1,2,1,2
S824,2,1,1,2,1
S825,3,2,2,2,1
S826,3,2,2,1,1
S827,1,3,1,1,1
S828,2,1,2,2,2
S829,2,2,1,3,3
S830,2,1,3,3,2
S831,1,1,3,1,2
S832,1,2,1,2,1
S833,1,1,1,2,1
S834,3,2,2,1,2
S835,1,1,1,1,2
S836,4,3,1,3,3
S837,1,1,1,1,1
S838,3,2,1,2,1
S839,2,2,3,3,2
S840,1,2,2,2,3
S841,1,1,1,1,1
S842,2,2,1,2,2
S843,1,1,1,1,3
S844,3,1,1,1,2
S845,1,1,1,1,1
S846,1,1,3,3,1
S847,1,1,2,1,1
S848,3,2,2,2,1
S849,3,2,4,2,2
S850,2,1,1,2,3
S851,1,1,1,1,2
S852,1,1,3,3,1
S853,4,4,3,2,4
S854,2,1,1,2,2
S855,2,1,2,2,5
S856,2,1,1,1,3
S857,2,1,1,3,5
S858,3,2,2,2,2
S859,5,3,2,4,4
S860,2,1,2,1,1
S861,4,1,3,4,3
S862,1,1,3,3,2
S863,1,1,1,1,1
S864,2,1,1,1,1
S865,4,2,3,2,5
S866,1,1,1,1,1
S867,1,2,1,1,1
S868,2,1,1,2,1
S869,2,3,1,1,2
S870,3,2,1,2,1
S871,4,4,3,2,2
S872,1,1,1,3,1
S873,1,1,2,2,1
S874,2,3,2,2,4
S875,1,1,2,3,1
S876,4,3,1,3,4
S877,2,1,1,1,3
S878,2,2,1,1,1
S879,2,1,1,1,1
S880,1,2,4,2,3
S881,1,1,1,2,3
S882,4,2,5,4,4
S883,1,3,2,2,4
S884,1,1,1,1,1
S885,2,1,1,2,1
S886,1,1,1,2,2
S887,1,2,1,1,2
S888,1,1,1,1,1
S889,1,2,1,1,1
S890,1,2,1,1,1
S891,1,1,1,1,1
S892,4,1,3,4,4
S893,3,2,3,2,3
S894,3,2,2,2,1
S895,3,4,2,4,3
S896,1,1,4,1,1
S897,4,2,1,3,1
S898,2,2,1,3,4
S899,4,1,3,3,1
S900,1,2,2,1,4
S901,1,2,1,1,2
S902,2,1,1,1,2
S903,1,4,2,4,4
S904,2,2,3,2,1
S905,1,1,1,2,1
S906,1,2,2,2,4
S907,1,4,3,1,4
S908,1,2,2,1,1
S909,1,2,1,1,2
S910,1,2,1,1,1
S911,1,1,1,1,1
S912,1,2,1,1,1
S913,1,2,1,1,1
S914,2,1,2,3,4
S915,1,2,3,1,3
S916,1,1,1,1,1
S917,3,3,4,2,3
S918,2,2,1,4,3
S919,5,4,4,2,4
S920,2,1,1,1,1
S921,5,1,2,2,2
S922,3,2,2,2,1
S923,3,1,2,3,1
S924,1,1,1,1,3
S925,1,1,2,2,2
S926,2,3,3,1,3
S927,2,1,2,2,1
S928,1,1,1,2,2
S929,3,3,3,3,3
S930,1,1,1,1,1
S931,1,1,1,1,1
S932,1,1,4,1,1
S933,2,3,1,1,2
S934,4,3,1,1,1
S935,3,1,1,1,2
S936,1,1,1,1,1
S937,2,1,2,1,1
S938,4,2,4,3,4
S939,3,3,3,2,4
S940,1,1,1,1,2
S941,1,2,3,2,1
S942,1,2,1,1,2
S943,1,1,1,2,2
S944,2,1,1,1,1
S945,1,1,2,2,2
S946,1,1,1,1,1
S947,2,2,1,2,1
S948,1,2,2,2,1
S949,3,1,2,3,3
S950,2,3,1,2,5
S951,2,1,3,3,2
S952,2,1,2,1,1
S953,5,2,2,3,2
S954,3,1,4,3,3
S955,4,3,4,4,1
S956,1,1,1,2,2
S957,1,2,1,1,1
S958,1,1,1,1,1
S959,1,2,1,1,1
S960,2,2,1,3,1
S961,2,3,1,1,1
S962,1,1,2,2,3
S963,1,2,4,1,3
S964,2,1,2,1,2
S965,2,2,3,2,1
S966,1,1,2,1,3
S967,1,1,1,1,1
S968,1,1,1,1,1
S969,2,1,2,4,1
S970,3,1,1,3,4
S971,1,1,1,1,2
S972,1,2,1,1,2
S973,2,1,3,1,1
S974,1,1,1,1,2
S975,4,1,1,3,2
S976,1,2,1,1,1
S977,1,1,1,1,2
S978,3,1,3,2,2
S979,3,2,4,4,3
S980,3,1,4,4,2
S981,3,1,3,3,1
S982,1,2,1,2,1
S983,1,1,1,1,1
S984,2,3,2,1,3
S985,3,4,3,1,3
S986,1,3,2,1,2
S987,1,1,1,1,2
S988,2,1,1,1,1
S989,3,3,2,2,4
S990,2,1,1,1,2
S991,1,1,3,1,1
S992,3,2,1,3,2
S993,2,2,1,2,1
S994,2,1,3,1,1
S995,1,1,1,1,2
S996,1,2,1,1,1
S997,5,5,2,4,5
S998,1,1,1,1,1
S999,1,1,1,2,1
S1000,1,1,3,2,2
S1001,1,1,1,3,1
S1002,4,2,1,1,1
S1003,1,2,2,1,2
S1004,2,1,4,1,2
S1005,3,1,1,1,1
S1006,2,3,1,3,3
S1007,3,1,1,3,1
S1008,1,3,3,2,1
S1009,1,1,3,1,1
S1010,1,1,2,1,2
S1011,2,1,1,1,1
S1012,3,2,2,1,4
S1013,3,1,1,4,1
S1014,2,5,1,1,2
S1015,1,2,1,3,1
S1016,1,1,1,2,3
S1017,1,1,1,2,1
S1018,1,1,2,2,1
S1019,1,2,1,1,1
S1020,2,3,1,1,4
S1021,1,1,2,1,1
S1022,1,3,3,1,3
S1023,1,1,4,1,1
S1024,1,1,1,2,1
S1025,2,2,1,1,1
S1026,1,2,1,3,2
S1027,1,1,1,1,2
S1028,1,4,2,1,2
S1029,2,1,5,3,1
S1030,3,3,4,1,3
S1031,1,1,2,1,2
S1032,1,1,1,1,1
S1033,2,1,2,1,3
S1034,1,1,4,1,1
S1035,3,3,1,2,3
S1036,5,4,1,4,3
S1037,1,1,1,1,2
S1038,2,3,1,3,1
S1039,2,2,2,1,2
S1040,2,4,1,3,2
S1041,1,1,1,1,1
S1042,2,3,3,2,4
S1043,1,2,1,1,2
S1044,3,5,3,3,3
S1045,1,1,1,1,1
S1046,1,1,1,1,1
S1047,1,1,1,1,1
S1048,3,4,1,2,2
S1049,1,3,3,1,3
S1050,1,1,2,1,2
S1051,4,3,5,3,2
S1052,3,2,3,3,3
S1053,1,1,2,1,1
S1054,3,1,1,1,4
S1055,2,1,1,3,1
S1056,1,2,2,2,1
S1057,2,2,2,1,3
S1058,4,2,1,1,2
S1059,3,2,2,1,2
S1060,3,4,1,3,2
S1061,1,1,1,2,2
S1062,1,2,1,3,2
S1063,1,2,2,4,1
S1064,2,2,1,1,3
S1065,1,1,4,4,2
S1066,1,1,1,2,3
S1067,1,1,1,2,1
